CAR_ID,FAILURE_TYPE,ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE
DFC4592B,O2 Sensor Failure,6335.8,1503.5,43.3,17.951,23.362,78.9,17.09361,27.27355,18.0,55.631,56.491,21.483,38.927,17.867,0.837,101.761,0.887,40.9,-0.631,488.554,201.273,13.815,12.078
5661FBC9,Transmission Slip,7149.5,1940.9,0.0,19.188,92.329,83.6,1.3878,-0.29241,45.627,64.456,57.734,16.078,33.478,17.823,0.961,101.284,0.974,42.0,21.609,509.49,247.694,14.049,0.0
5D84AE88,EVAP System Fault,6283.5,1228.3,48.7,22.59,0.0,74.3,6.44059,-18.34995,46.474,52.22,54.897,16.078,33.414,22.378,0.991,100.959,0.694,35.1,5.618,447.068,252.493,13.516,0.0
816E69C0,EVAP System Fault,3649.8,984.2,21.7,20.72,12.102,75.2,3.99181,6.6525,18.0,43.838,57.281,17.007,35.217,17.995,1.003,100.696,3.492,44.0,21.393,523.443,429.084,14.016,0.0
648D4D7F,EVAP System Fault,2876.5,1732.3,45.1,20.827,44.856,68.1,7.16234,-19.2417,41.539,51.069,47.059,16.078,39.08,20.631,1.004,100.96,0.0,35.8,25.97,539.522,379.629,13.627,0.0
BDD59FAF,Alternator Failure,1997.2,1902.9,27.0,12.574,46.491,53.0,2.15454,3.90138,26.715,43.874,50.783,20.826,35.874,30.062,0.989,102.0,4.393,43.0,18.653,543.2,266.451,11.486,3.259
F6328C82,Catalytic Converter Failure,2718.9,1399.0,38.0,23.004,42.779,83.8,1.86149,1.79399,52.087,77.028,49.011,28.081,31.765,18.937,1.01,101.597,0.0,40.4,21.837,455.619,421.122,14.021,53.72
65608DBB,Catalytic Converter Failure,900.5,1779.3,0.0,21.442,7.777,58.9,2.10006,-2.3225,52.915,46.39,55.787,16.316,36.011,17.199,1.005,100.38,0.516,34.2,17.433,407.148,375.267,14.08,17.218
89BEF1FF,EVAP System Fault,3113.1,814.3,33.3,21.599,42.956,82.2,3.92445,-16.20521,37.14,64.231,56.618,17.7,32.482,24.967,1.001,100.0,0.294,38.1,13.597,463.789,432.107,13.914,0.0
CF55CC40,Transmission Slip,1965.6,2308.5,0.0,18.278,89.437,81.3,4.46518,1.64274,35.026,19.472,56.084,18.594,34.392,16.108,0.946,100.0,0.0,40.8,12.556,409.235,326.878,13.701,24.032
E5237845,MAP Sensor Failure,880.5,1356.8,40.1,24.278,80.241,90.0,-10.01209,-11.16678,99.985,57.784,50.319,23.8,33.242,17.677,0.987,101.053,0.0,47.0,21.295,522.948,150.272,13.927,0.0
562A946F,EVAP System Fault,4896.2,1114.6,0.0,15.935,42.181,49.9,3.60538,5.71357,30.215,58.307,51.669,21.225,31.765,21.39,1.004,102.0,6.84,46.0,21.825,575.392,350.379,13.706,0.0
73FA79F3,Transmission Slip,46.7,1608.8,0.0,21.302,91.68,91.0,3.25061,2.13514,54.889,31.511,50.651,21.839,31.765,19.964,0.957,100.913,0.0,52.7,11.719,415.916,62.855,13.352,18.43
0DC35A1B,MAP Sensor Failure,1856.4,2108.9,49.7,19.535,7.694,91.0,11.1308,13.11444,14.666,36.261,53.724,17.619,36.434,23.147,1.005,100.0,2.215,39.7,25.705,451.597,216.896,13.981,81.567
1B32273C,EVAP System Fault,4552.9,591.6,59.3,16.318,32.654,83.6,6.39454,4.99137,35.925,51.984,59.516,16.078,31.765,16.995,0.997,100.271,0.713,47.4,18.716,600.744,372.161,13.728,0.0
7E9A8391,Healthy,6609.5,2026.7,50.5,14.121,45.995,82.1,3.37135,-0.10741,21.619,23.124,57.839,21.542,35.803,17.525,0.998,101.275,0.0,54.2,9.712,378.222,390.954,13.93,54.296
45EE0DD2,Alternator Failure,590.2,1538.3,27.3,25.522,35.005,59.1,0.94978,-6.82448,36.516,50.305,58.963,22.043,32.199,14.061,0.984,101.179,0.467,53.7,-0.325,591.467,414.687,10.537,0.0
46B2BE22,Thermostat Stuck Open,270.6,1605.7,39.0,18.492,57.431,63.7,-10.03418,-7.22219,50.469,59.472,50.153,18.937,36.748,13.766,1.152,100.0,6.232,41.1,9.584,449.855,312.555,14.135,24.989
974AE037,Healthy,5297.5,1368.4,22.6,15.941,53.987,91.0,1.56624,2.74502,61.931,53.186,56.156,16.078,35.31,13.914,0.995,100.684,0.0,46.0,7.032,610.087,399.318,13.539,56.299
0FCA6460,Throttle Body Fault,3757.7,781.7,36.1,34.999,30.342,61.3,0.74279,6.97358,43.012,30.024,40.481,20.534,31.765,26.29,0.995,100.07,3.702,39.0,10.892,502.033,376.652,13.948,65.592
F65DCE95,Throttle Body Fault,4792.6,1821.2,12.6,0.0,40.176,80.4,3.84677,13.03442,18.0,67.947,88.035,19.049,31.765,20.278,0.99,101.875,0.0,37.7,14.731,531.446,285.985,13.645,16.686
FD3F21DA,MAP Sensor Failure,3904.5,2235.6,13.5,20.114,2.389,91.0,7.51496,19.4217,11.94,87.294,56.35,16.078,33.811,20.239,0.993,100.523,2.896,34.7,3.198,639.111,491.461,13.846,57.236
2AB07F1D,Thermostat Stuck Open,411.0,1345.2,32.0,17.083,60.703,52.3,-13.70799,-14.67201,57.586,30.841,48.522,18.608,37.302,20.304,1.14,101.272,1.605,55.0,14.766,418.688,289.179,13.666,9.547
175224A8,Healthy,366.0,1196.6,70.5,20.038,17.54,91.0,2.1759,-8.87805,51.051,13.443,47.059,16.341,34.893,13.939,1.004,100.794,0.0,34.9,-6.511,283.965,284.286,14.35,43.383
6C8F32CD,Transmission Slip,390.8,3979.1,0.0,17.038,93.911,86.7,4.60095,-2.3457,54.681,28.571,55.05,18.719,31.765,15.238,0.94,100.852,2.293,48.7,16.933,421.315,344.656,13.417,22.903
D3A43733,Healthy,1560.5,1245.0,0.0,18.066,42.222,71.8,2.55769,-3.26222,18.0,60.39,50.681,21.733,35.289,18.025,0.982,101.96,2.524,44.8,11.979,488.397,522.4,14.261,0.0
568EC725,Alternator Failure,764.2,1645.5,4.0,11.58,64.321,91.0,2.78771,7.79243,61.736,46.591,51.822,21.977,31.765,27.663,0.979,100.0,0.0,43.2,10.719,644.9,157.178,12.349,24.471
AAE25514,O2 Sensor Failure,1375.7,1472.9,26.6,22.453,27.769,71.1,14.59878,40.94582,27.234,54.134,48.039,20.79,34.736,17.105,0.861,100.0,0.0,45.4,4.021,654.986,280.005,13.26,52.702
038E7235,Catalytic Converter Failure,4460.6,1811.0,21.5,22.067,27.848,53.0,-1.5625,1.40666,23.102,26.723,57.652,16.078,32.254,16.434,0.994,100.927,0.0,39.7,17.152,498.653,439.811,13.966,62.702
4E97855C,Healthy,5208.4,1905.5,37.1,21.011,27.7,91.0,1.72509,-1.73887,39.01,19.3,47.479,18.155,40.042,29.037,0.983,102.0,0.0,38.0,-1.231,532.293,522.4,13.929,33.444
B397E375,Engine Overheating,291.5,1833.2,0.0,18.14,36.696,138.7,-0.6941,0.42044,44.52,51.621,50.19,17.363,31.765,21.418,1.071,100.581,5.613,39.5,-4.857,592.758,414.324,13.577,42.548
75F92412,EVAP System Fault,6176.8,1473.0,10.3,18.351,30.574,91.0,5.60103,-20.32087,18.0,52.853,47.059,16.078,31.765,22.686,1.0,100.0,3.468,49.8,-2.68,573.622,270.008,13.72,0.0
56652457,O2 Sensor Failure,891.9,961.5,26.1,21.059,6.018,77.1,11.20169,25.90034,49.38,47.468,54.795,16.943,38.01,20.477,0.83,100.08,0.727,40.2,-2.513,516.366,254.957,13.698,2.922
A3C54C10,Transmission Slip,4145.7,2409.5,0.0,18.648,98.399,47.9,0.39382,-6.91561,47.565,40.971,50.553,19.519,37.501,17.451,0.966,100.736,9.764,40.6,7.915,568.117,276.919,13.803,50.298
E26466CD,Crankshaft Position Sensor Failure,1238.9,62.0,0.0,15.25,24.316,-6.6,1.81495,21.60498,38.969,44.477,53.454,16.078,33.521,16.55,0.834,100.815,4.64,40.3,279.094,429.858,350.305,15.609,23.153
296DFEE0,O2 Sensor Failure,126.4,1325.9,23.7,23.483,52.151,70.7,19.8747,43.39052,50.053,55.807,47.059,20.382,38.643,24.498,0.868,101.217,6.891,44.4,25.172,567.938,78.841,14.116,30.799
B00DC427,Engine Overheating,5568.3,1819.3,27.0,20.481,32.709,131.6,3.23685,-2.9794,57.317,29.641,47.661,16.078,35.673,17.697,1.179,100.585,0.0,41.1,4.413,582.188,406.925,13.8,78.298
4433A333,Catalytic Converter Failure,427.7,1661.9,51.5,14.561,33.112,65.8,-1.39373,0.3519,36.695,79.347,53.175,21.687,32.676,17.56,0.992,100.896,1.005,31.1,8.567,569.266,546.753,14.094,19.721
0FAEBDE2,O2 Sensor Failure,3615.0,1795.6,16.5,15.155,36.374,67.5,20.94865,23.34056,36.117,50.133,55.924,27.104,31.765,14.727,0.844,100.0,0.738,43.5,1.674,586.326,328.211,13.844,43.411
9C107E88,Catalytic Converter Failure,6515.5,1220.5,20.8,21.179,38.85,79.4,2.41272,2.3494,43.441,23.004,51.315,24.0,35.648,17.713,0.999,101.259,4.024,38.1,4.405,603.21,546.135,13.755,16.045
A3741ECE,Healthy,271.2,1894.5,42.6,20.02,43.17,82.1,2.03891,-1.41621,34.075,48.143,52.084,22.301,31.765,17.31,0.996,101.121,5.343,38.2,6.281,486.445,356.775,13.771,0.0
93BAEEED,MAP Sensor Failure,4944.8,1479.5,57.2,20.675,18.984,61.1,8.89657,21.14033,16.377,36.223,47.62,20.096,36.715,20.105,1.003,101.581,0.0,30.7,-3.297,412.18,494.152,13.834,0.0
3490E051,MAP Sensor Failure,465.0,1428.4,19.5,13.364,83.613,71.0,-4.17369,-21.19736,99.883,42.115,57.666,21.766,31.765,23.115,0.994,101.541,0.0,38.6,11.597,521.172,349.787,13.964,14.597
E0EC3C2D,MAP Sensor Failure,1928.3,1548.0,38.9,15.495,3.979,72.5,14.33616,23.60189,15.557,48.697,47.981,20.714,31.765,19.974,1.006,100.0,1.68,36.2,9.248,334.634,247.256,13.601,6.055
38CA8FAA,Engine Overheating,6673.7,1264.4,8.6,25.994,56.699,119.5,-0.88009,-2.28761,21.189,62.788,53.944,18.847,33.663,19.533,1.157,100.33,2.632,33.1,-2.864,535.604,374.316,13.639,38.218
001666FA,Thermostat Stuck Open,2496.7,1197.4,0.0,17.219,36.87,52.6,-3.27824,-13.70795,44.271,58.043,48.228,22.799,39.964,22.418,1.169,101.171,4.932,52.1,22.41,436.243,302.345,13.691,42.886
453D7E8F,Thermostat Stuck Open,2386.0,1651.7,3.7,22.429,32.329,49.7,-5.6577,-9.47335,27.046,51.426,47.059,17.273,39.59,14.537,1.07,100.0,4.885,36.5,15.632,431.944,299.121,13.916,0.0
E0C45C13,Throttle Body Fault,4380.8,2191.6,19.1,46.537,43.457,91.0,2.06054,-7.73731,41.477,25.908,29.382,19.182,34.141,18.517,0.98,100.0,1.394,37.5,25.236,390.969,271.197,14.13,2.87
1D292D37,Throttle Body Fault,6570.2,1573.0,33.0,52.107,17.488,78.1,0.19963,-7.39365,27.009,53.543,21.142,19.51,39.942,18.133,0.998,100.333,3.229,48.9,1.489,394.388,522.4,13.835,0.0
01D05DDC,Transmission Slip,1297.2,3578.4,20.5,21.407,95.295,71.7,1.1784,1.25157,39.432,33.387,50.443,22.965,34.222,17.388,0.977,101.492,0.0,39.1,8.858,363.456,143.242,13.822,25.671
B0FB4A62,EVAP System Fault,3144.9,948.1,19.1,20.724,53.689,69.1,6.92045,-12.76676,41.354,40.421,54.985,21.56,34.016,20.922,1.005,101.018,3.727,29.3,9.128,493.192,330.26,13.421,0.0
70B989D7,O2 Sensor Failure,3370.5,1019.9,38.6,15.307,17.855,91.0,19.16061,39.3039,49.529,52.677,51.27,19.074,45.379,20.919,0.905,100.891,4.594,39.8,-3.457,550.718,318.04,13.794,72.863
D887C505,Alternator Failure,352.8,905.0,29.3,27.185,42.991,88.1,0.63371,-7.77376,55.349,63.127,47.059,23.388,38.321,14.459,0.997,100.901,2.272,45.3,1.839,516.875,214.456,10.834,0.0
54965361,Engine Overheating,1832.3,1125.5,30.0,19.107,61.999,136.1,4.44383,1.20138,56.354,22.965,50.57,21.765,36.283,19.297,1.075,101.032,0.0,52.6,-7.756,566.283,395.791,14.007,28.976
95682EAC,EVAP System Fault,1448.3,975.0,20.2,21.795,37.852,64.5,3.76821,3.58979,42.114,34.92,57.038,17.371,34.973,15.388,1.002,100.451,0.0,36.2,0.725,417.583,243.407,13.966,0.0
FE22EE65,Alternator Failure,972.9,1407.8,15.7,30.205,37.142,53.9,1.48203,6.89732,34.176,80.589,54.061,16.078,41.316,14.438,0.985,101.224,1.178,33.1,12.199,329.047,264.298,11.526,0.0
E53A8CA9,EVAP System Fault,3966.9,1052.9,22.0,18.596,28.447,91.0,4.8211,2.14172,26.442,51.873,47.059,18.279,40.822,22.601,1.002,101.846,5.666,41.6,18.403,640.813,129.653,13.404,0.0
02BA9C1E,Thermostat Stuck Open,5555.4,852.6,21.4,18.963,54.968,45.8,-11.95137,-13.38943,62.546,74.177,53.463,16.078,31.765,19.239,1.123,100.945,0.0,33.1,11.152,396.602,272.615,14.121,82.239
22A96083,Healthy,4367.5,837.4,11.3,17.377,32.863,82.2,1.08061,-2.38568,23.812,38.744,52.856,16.078,38.992,18.072,1.013,100.448,0.0,34.7,11.539,520.705,423.272,13.896,75.612
AE8CC949,Crankshaft Position Sensor Failure,6871.9,58.8,11.4,17.546,3.755,-0.7,1.63984,38.14204,35.514,32.83,52.697,16.078,37.119,24.097,1.118,100.47,5.565,34.5,517.429,344.706,184.42,68.033,67.924
C6D3330E,Thermostat Stuck Open,3833.5,1470.4,26.8,21.404,46.81,45.0,-11.35781,-9.14694,70.889,48.048,48.83,19.868,34.997,19.774,1.13,100.0,0.0,43.5,30.712,425.895,294.584,13.574,34.7
B0B4BE00,O2 Sensor Failure,2846.6,2050.4,25.5,24.548,24.233,75.7,17.97201,44.42578,44.522,37.292,51.326,17.198,37.545,23.1,0.83,101.38,0.0,42.4,1.413,678.156,344.883,13.875,0.0
22E586DB,Alternator Failure,6925.5,1554.7,22.6,12.401,36.778,91.0,0.08884,4.86529,45.008,36.456,47.059,16.078,32.548,31.466,1.01,100.876,3.089,39.4,4.851,435.239,221.876,11.248,3.157
6AF854A4,Engine Overheating,3551.0,1104.6,0.0,18.775,35.306,137.7,1.07172,-2.43703,25.064,42.957,51.0,20.451,31.765,22.843,1.089,101.064,0.0,48.5,0.692,596.277,416.787,13.504,5.283
969480C3,Engine Overheating,4072.8,1347.9,30.4,19.169,24.403,142.1,3.32402,1.53035,33.648,44.822,49.893,20.319,33.142,18.3,1.072,100.787,4.381,40.7,-4.52,594.904,415.826,13.447,2.451
9AEB4A4E,Thermostat Stuck Open,7076.9,1763.7,31.9,21.966,0.0,66.1,-11.0159,-13.42064,49.082,22.51,51.574,17.18,37.359,20.646,1.108,100.489,0.567,41.3,12.1,438.98,304.398,13.687,21.375
76F892AB,EVAP System Fault,2950.9,996.0,27.8,18.27,50.386,65.3,2.7926,4.4558,18.0,45.437,55.119,24.148,37.24,21.786,1.007,101.8,2.091,43.7,-5.76,360.353,522.4,13.852,0.0
44E5D95D,Thermostat Stuck Open,3298.0,1031.5,0.0,23.719,43.557,42.2,-8.33998,-9.82158,49.881,25.78,52.687,16.098,34.061,21.648,1.159,100.0,2.368,43.5,1.925,392.811,269.771,13.975,61.816
69245A98,Thermostat Stuck Open,2565.2,960.4,31.8,22.369,30.813,64.9,-12.84241,-10.93707,55.332,43.09,50.215,16.078,33.665,18.071,1.172,100.386,0.0,38.7,12.533,449.879,312.572,13.739,27.976
DEBAC95F,Thermostat Stuck Open,5499.6,1061.1,45.6,16.461,36.669,67.4,-11.4456,-17.10978,18.0,19.728,53.572,17.023,33.282,17.273,1.074,101.24,0.0,34.9,7.197,450.0,315.004,13.743,6.769
E8E9C4D8,Throttle Body Fault,2266.9,1057.3,30.1,0.0,45.28,82.5,1.82464,13.63214,24.028,61.76,77.7,25.29,37.857,2.96,0.991,100.364,4.129,43.9,14.114,365.48,442.473,13.818,26.896
0F11C2C1,Throttle Body Fault,1609.6,1735.0,6.3,48.139,56.763,76.7,2.96698,12.98946,55.822,74.825,36.678,21.938,35.267,10.935,0.99,101.741,1.709,31.2,18.305,487.573,250.201,13.82,38.063
CEE79980,Crankshaft Position Sensor Failure,6489.7,13.3,16.9,21.995,8.884,-7.5,2.13886,34.76881,28.821,49.854,48.099,26.442,37.57,20.257,1.086,100.0,0.0,39.7,245.582,363.727,311.739,79.12,49.204
B45CB6A0,Engine Overheating,5839.7,1257.4,19.1,21.856,49.083,131.2,3.26454,1.41702,27.652,67.5,50.467,19.722,32.968,20.763,1.095,100.0,2.531,39.3,-4.479,556.475,388.926,14.009,62.334
ED54C915,Transmission Slip,1086.7,3631.4,0.0,25.742,97.636,31.8,2.13952,3.85304,18.0,31.983,47.953,22.273,39.678,18.409,0.948,100.136,1.763,51.2,-5.912,601.767,145.365,13.947,18.021
31176E48,Engine Overheating,4136.2,1749.1,54.1,19.992,36.695,113.2,-0.34814,-0.98107,33.385,43.675,49.483,19.364,44.436,24.275,1.125,100.142,6.005,43.7,-4.259,538.705,376.487,13.913,0.0
B7E4F0C3,O2 Sensor Failure,3307.3,1139.1,40.3,20.902,20.569,61.6,19.50662,26.78196,48.813,21.299,51.308,18.845,36.474,21.386,0.859,100.0,2.336,52.5,-20.0,644.553,222.146,13.465,0.0
90BD73EE,Crankshaft Position Sensor Failure,6701.8,69.8,37.4,14.945,1.146,-5.4,-1.5625,33.05971,18.0,68.638,48.974,16.078,35.231,18.045,1.161,100.336,0.0,45.8,463.508,534.019,292.133,59.685,45.903
E12326AB,Transmission Slip,2977.8,2438.7,0.0,14.548,99.643,78.6,0.85294,-1.90174,41.355,46.527,51.696,16.078,32.789,15.945,0.971,100.0,6.597,36.9,1.945,485.973,245.342,13.739,0.0
9038704B,Engine Overheating,5176.5,1679.9,12.0,25.472,33.62,127.6,1.14364,-0.46224,32.664,42.441,50.781,18.751,41.509,15.537,1.111,100.0,8.14,49.4,-4.759,562.086,392.853,13.751,14.409
00A47F09,Engine Overheating,6073.6,972.0,8.4,23.783,10.392,135.0,0.83023,1.32512,46.323,26.183,51.832,26.232,39.518,19.166,1.135,100.0,2.317,51.6,-9.43,592.65,414.248,13.983,79.043
993F1195,EVAP System Fault,4706.3,1734.0,12.4,18.84,35.706,66.3,5.72328,0.06698,18.0,48.882,51.613,16.76,37.214,23.409,0.999,100.721,1.6,30.8,1.972,527.437,385.458,13.983,0.0
0BEFD679,Alternator Failure,1386.7,1665.4,36.4,12.022,21.057,77.9,1.49474,2.56578,55.885,64.031,47.059,20.032,31.765,32.174,1.019,100.076,0.0,38.1,22.777,421.602,196.185,10.861,47.16
EEA6DF22,Engine Overheating,1255.7,1308.9,21.8,16.925,34.299,129.2,-0.33381,3.3068,57.534,32.18,54.25,21.783,31.765,27.358,1.177,100.0,0.0,39.3,0.506,569.272,397.883,14.012,16.88
C07CC0DD,Healthy,1743.3,1350.0,27.2,19.81,36.017,63.2,2.09604,-2.75653,32.707,52.122,59.126,16.078,34.954,17.199,0.998,101.224,4.454,33.8,9.674,581.495,447.941,13.674,24.582
C5E23F57,Engine Overheating,5810.0,1395.9,59.2,17.336,18.657,138.0,3.67642,5.39154,33.178,62.873,47.059,16.078,35.111,13.333,1.053,100.0,0.675,33.4,-0.59,577.098,403.362,13.526,0.0
E5CC8EC7,O2 Sensor Failure,5083.1,928.5,33.9,17.399,48.334,69.3,16.04676,42.3068,39.384,73.595,51.244,18.699,31.765,19.577,0.826,102.0,0.0,32.7,-1.566,571.636,404.965,13.74,1.336
5B49D39D,O2 Sensor Failure,7002.5,1930.6,50.9,18.689,44.003,87.9,17.22781,22.1567,25.933,40.786,49.038,22.848,32.718,19.288,0.906,101.391,0.0,42.7,22.472,535.174,382.784,13.721,9.424
D28A030B,Crankshaft Position Sensor Failure,5612.8,63.2,40.4,18.122,1.293,0.8,4.40496,90.44086,38.603,28.013,54.585,16.078,33.569,19.242,0.712,101.226,6.07,43.5,244.538,522.81,384.802,10.805,38.914
EBA594CF,Engine Overheating,7006.7,1630.2,14.4,24.828,48.475,134.4,1.23322,-6.35507,46.574,52.603,54.658,21.706,40.391,18.603,1.137,100.903,3.315,46.2,-7.724,574.378,401.457,13.979,66.929
10A05D48,Healthy,2427.0,1505.3,23.8,20.562,54.539,91.0,2.4849,-4.62093,40.611,65.938,54.456,28.89,34.628,16.732,0.992,101.128,1.9,54.3,19.958,500.264,200.418,13.875,22.25
3B586ED7,Transmission Slip,2041.5,3060.7,14.5,13.904,96.279,91.0,3.08895,-0.14958,35.205,26.432,51.077,16.078,32.898,25.435,0.968,100.531,0.0,52.8,-9.651,565.431,225.946,14.227,46.722
54CED90B,MAP Sensor Failure,2624.0,1891.7,28.2,19.596,66.538,52.1,3.39065,-19.1987,64.542,64.775,54.186,16.078,36.791,22.512,1.009,100.353,2.147,46.5,7.89,540.4,189.287,13.594,8.421
58542472,Transmission Slip,1686.4,2551.9,28.6,20.707,94.902,75.1,3.42386,-4.03947,33.049,71.476,50.842,23.237,35.818,16.592,0.97,101.006,0.0,44.7,19.98,405.759,427.398,13.901,35.384
8D698FC4,Engine Overheating,4727.0,750.8,44.0,25.749,30.826,126.3,2.82784,-0.57941,28.734,33.954,48.078,17.989,36.579,15.722,1.08,100.869,6.704,44.1,-6.903,542.032,378.815,13.662,17.873
6E103DE1,Engine Overheating,4968.1,1406.0,25.5,19.708,30.13,142.0,2.75969,-2.23448,33.916,50.134,47.266,22.361,36.309,14.9,1.07,101.068,0.0,47.4,0.51,582.018,406.805,13.995,37.595
ABE7094D,Transmission Slip,4048.4,2117.7,10.6,20.646,97.334,50.6,3.72088,1.66782,34.35,30.406,51.074,20.674,36.667,19.597,0.951,101.825,3.376,42.2,-10.0,515.716,419.716,13.436,50.259
5E7C1A56,Throttle Body Fault,4719.4,751.8,8.5,43.208,50.018,91.0,1.92166,3.84448,18.594,40.583,25.101,22.52,34.065,33.695,0.998,100.204,0.0,41.4,18.673,489.452,477.08,14.146,47.451
10E7904D,Alternator Failure,2649.1,972.2,17.1,16.204,15.368,64.9,-0.37278,-2.86209,24.574,75.67,54.632,19.377,33.209,14.77,0.998,100.0,0.0,45.3,0.869,465.239,466.014,11.305,4.397
C44D8E42,O2 Sensor Failure,1616.0,1966.5,18.6,20.799,45.627,85.2,18.542,31.17519,18.0,75.284,54.083,19.94,34.13,14.988,0.868,100.362,0.417,47.1,4.449,505.124,297.123,13.687,38.026
99DFB4CE,Throttle Body Fault,2902.9,1366.0,13.7,43.767,23.846,91.0,2.86372,11.43778,18.0,33.775,36.348,16.078,36.842,31.557,0.993,100.0,6.038,33.1,3.518,215.128,171.678,13.567,0.0
E053541B,O2 Sensor Failure,4956.0,2366.2,5.6,16.018,17.211,76.8,15.55805,31.48185,18.0,88.355,57.649,17.816,31.765,21.718,0.85,100.202,0.0,45.6,2.801,480.563,389.466,13.915,73.146
0188D138,EVAP System Fault,5939.0,1076.1,31.4,21.888,57.565,75.6,5.44202,-3.44924,49.9,15.34,49.676,24.695,31.765,20.071,0.993,100.0,2.695,38.3,13.223,452.619,451.665,13.661,0.0
764DCCB8,O2 Sensor Failure,1453.2,1452.4,13.0,17.801,45.374,71.9,18.70557,36.9116,36.956,71.543,53.791,17.766,35.929,19.936,0.894,100.0,1.303,31.4,-6.357,628.97,277.655,13.783,1.844
1F852CCC,Crankshaft Position Sensor Failure,1033.6,21.8,59.2,21.741,18.859,-5.5,2.28309,83.1573,52.657,59.724,52.469,16.078,37.824,13.86,1.099,100.0,4.821,53.8,209.397,433.372,298.776,99.175,0.0
B95410D3,Alternator Failure,2048.1,1597.0,32.2,12.975,23.243,91.0,-0.02518,7.72791,51.512,32.079,52.188,22.302,35.285,29.929,1.004,101.023,0.0,41.9,3.185,432.844,436.185,11.744,0.0
